#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name
INI30820	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.269425e-01	Rheumatoid.factor
INI30820	clumped_snpnet_PRS_1e-5	qt	Covariates_only	2.260414e-01	Rheumatoid.factor
INI30820	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	2.611664e-01	Rheumatoid.factor
INI30820	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.405986e-01	Rheumatoid.factor
INI30830	clumped_snpnet_PRS_1e-3	qt	Covariates_only	3.936079e-01	SHBG
INI30830	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	4.775840e-01	SHBG
INI30830	clumped_snpnet_PRS_1e-3	qt	Genotype_only	2.800991e-01	SHBG
INI30830	clumped_snpnet_PRS_1e-4	qt	Covariates_only	3.936194e-01	SHBG
INI30830	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	4.872839e-01	SHBG
INI30830	clumped_snpnet_PRS_1e-4	qt	Genotype_only	2.926224e-01	SHBG
INI30830	clumped_snpnet_PRS_1e-5	qt	Covariates_only	3.936024e-01	SHBG
INI30830	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	4.850693e-01	SHBG
INI30830	clumped_snpnet_PRS_1e-5	qt	Genotype_only	2.874052e-01	SHBG
INI30840	clumped_snpnet_PRS_1e-3	qt	Covariates_only	2.210256e-01	Total.bilirubin
INI30840	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	5.316649e-01	Total.bilirubin
INI30840	clumped_snpnet_PRS_1e-3	qt	Genotype_only	4.843287e-01	Total.bilirubin
INI30840	clumped_snpnet_PRS_1e-4	qt	Covariates_only	2.210925e-01	Total.bilirubin
INI30840	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	5.366622e-01	Total.bilirubin
INI30840	clumped_snpnet_PRS_1e-4	qt	Genotype_only	4.898308e-01	Total.bilirubin
INI30840	clumped_snpnet_PRS_1e-5	qt	Covariates_only	2.211568e-01	Total.bilirubin
INI30840	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	5.374215e-01	Total.bilirubin
INI30840	clumped_snpnet_PRS_1e-5	qt	Genotype_only	4.907311e-01	Total.bilirubin
INI30850	clumped_snpnet_PRS_1e-3	qt	Covariates_only	8.532693e-01	Testosterone
INI30850	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	8.535984e-01	Testosterone
INI30850	clumped_snpnet_PRS_1e-3	qt	Genotype_only	6.120406e-02	Testosterone
INI30850	clumped_snpnet_PRS_1e-4	qt	Covariates_only	8.532663e-01	Testosterone
INI30850	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	8.559010e-01	Testosterone
INI30850	clumped_snpnet_PRS_1e-4	qt	Genotype_only	6.418140e-02	Testosterone
INI30850	clumped_snpnet_PRS_1e-5	qt	Covariates_only	8.532671e-01	Testosterone
INI30850	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	8.567270e-01	Testosterone
INI30850	clumped_snpnet_PRS_1e-5	qt	Genotype_only	6.706288e-02	Testosterone
INI30860	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.165234e-01	Total.protein
INI30860	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	1.158843e-01	Total.protein
INI30860	clumped_snpnet_PRS_1e-3	qt	Genotype_only	6.003578e-02	Total.protein
INI30860	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.166704e-01	Total.protein
INI30860	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	1.245400e-01	Total.protein
INI30860	clumped_snpnet_PRS_1e-4	qt	Genotype_only	6.297564e-02	Total.protein
INI30860	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.165458e-01	Total.protein
INI30860	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	1.290014e-01	Total.protein
INI30860	clumped_snpnet_PRS_1e-5	qt	Genotype_only	6.457425e-02	Total.protein
INI30870	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.293432e-01	Triglycerides
INI30870	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	2.214330e-01	Triglycerides
INI30870	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.848893e-01	Triglycerides
INI30870	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.293661e-01	Triglycerides
INI30870	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	2.365923e-01	Triglycerides
INI30870	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.995063e-01	Triglycerides
INI30870	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.293998e-01	Triglycerides
INI30870	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	2.365766e-01	Triglycerides
INI30870	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.987345e-01	Triglycerides
INI30880	clumped_snpnet_PRS_1e-3	qt	Covariates_only	4.809971e-01	Urate
INI30880	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	5.443206e-01	Urate
INI30880	clumped_snpnet_PRS_1e-3	qt	Genotype_only	2.640250e-01	Urate
INI30880	clumped_snpnet_PRS_1e-4	qt	Covariates_only	4.810034e-01	Urate
INI30880	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	5.509880e-01	Urate
INI30880	clumped_snpnet_PRS_1e-4	qt	Genotype_only	2.702435e-01	Urate
INI30880	clumped_snpnet_PRS_1e-5	qt	Covariates_only	4.809921e-01	Urate
INI30880	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	5.506080e-01	Urate
INI30880	clumped_snpnet_PRS_1e-5	qt	Genotype_only	2.683113e-01	Urate
INI30890	clumped_snpnet_PRS_1e-3	qt	Covariates_only	6.167682e-02	Vitamin.D
INI30890	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	1.888063e-01	Vitamin.D
INI30890	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.795426e-01	Vitamin.D
INI30890	clumped_snpnet_PRS_1e-4	qt	Covariates_only	6.158103e-02	Vitamin.D
INI30890	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	2.097114e-01	Vitamin.D
INI30890	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.997788e-01	Vitamin.D
INI30890	clumped_snpnet_PRS_1e-5	qt	Covariates_only	6.169142e-02	Vitamin.D
INI30890	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	2.127729e-01	Vitamin.D
INI30890	clumped_snpnet_PRS_1e-5	qt	Genotype_only	2.024984e-01	Vitamin.D
