#Population	GBE_ID	PRS_model	phe_type	features	R_or_AUC
e_asian	Glucose	snpnet	qt	Covariates_only	2.078192e-01
e_asian	Glucose	snpnet	qt	Genotype_and_covariates	2.300502e-01
e_asian	Glucose	snpnet	qt	Genotype_only	8.064524e-02
e_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Covariates_only	3.352637e-01
e_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Genotype_and_covariates	3.936892e-01
e_asian	Glycated_haemoglobin_HbA1c	snpnet	qt	Genotype_only	2.185991e-01
e_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Covariates_only	1.602228e-01
e_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Genotype_and_covariates	1.805121e-01
e_asian	Glycated_haemoglobin_HbA1c_adjstatins	snpnet	qt	Genotype_only	9.156477e-02
e_asian	HDL_cholesterol	snpnet	qt	Covariates_only	4.270053e-01
e_asian	HDL_cholesterol	snpnet	qt	Genotype_and_covariates	5.302957e-01
e_asian	HDL_cholesterol	snpnet	qt	Genotype_only	3.217508e-01
e_asian	HDL_cholesterol_adjstatins	snpnet	qt	Covariates_only	9.295280e-02
e_asian	HDL_cholesterol_adjstatins	snpnet	qt	Genotype_and_covariates	1.075416e-01
e_asian	HDL_cholesterol_adjstatins	snpnet	qt	Genotype_only	5.722651e-02
e_asian	IGF_1	snpnet	qt	Covariates_only	3.388070e-01
e_asian	IGF_1	snpnet	qt	Genotype_and_covariates	4.088386e-01
e_asian	IGF_1	snpnet	qt	Genotype_only	2.554670e-01
e_asian	IGF_1_adjstatins	snpnet	qt	Covariates_only	3.105734e-01
e_asian	IGF_1_adjstatins	snpnet	qt	Genotype_and_covariates	3.783645e-01
e_asian	IGF_1_adjstatins	snpnet	qt	Genotype_only	2.392045e-01
e_asian	LDL_direct	snpnet	qt	Covariates_only	1.483038e-01
e_asian	LDL_direct	snpnet	qt	Genotype_and_covariates	2.810835e-01
e_asian	LDL_direct	snpnet	qt	Genotype_only	2.432942e-01
e_asian	LDL_direct_adjstatins	snpnet	qt	Covariates_only	1.943506e-01
e_asian	LDL_direct_adjstatins	snpnet	qt	Genotype_and_covariates	3.437826e-01
e_asian	LDL_direct_adjstatins	snpnet	qt	Genotype_only	2.751267e-01
e_asian	Lipoprotein_A_adjstatins	snpnet	qt	Covariates_only	4.402429e-02
e_asian	Lipoprotein_A_adjstatins	snpnet	qt	Genotype_and_covariates	2.000412e-01
e_asian	Lipoprotein_A_adjstatins	snpnet	qt	Genotype_only	1.963303e-01
e_asian	MicroalbuminNormal	snpnet	bin	Covariates_only	5.696349e-01
e_asian	MicroalbuminNormal	snpnet	bin	Genotype_and_covariates	5.772776e-01
e_asian	MicroalbuminNormal	snpnet	bin	Genotype_only	5.351348e-01
e_asian	Non_albumin_protein	snpnet	qt	Covariates_only	2.350589e-01
e_asian	Non_albumin_protein	snpnet	qt	Genotype_and_covariates	2.040405e-01
e_asian	Non_albumin_protein	snpnet	qt	Genotype_only	1.100083e-01
e_asian	Non_albumin_protein_adjstatins	snpnet	qt	Covariates_only	2.335598e-01
e_asian	Non_albumin_protein_adjstatins	snpnet	qt	Genotype_and_covariates	2.016426e-01
e_asian	Non_albumin_protein_adjstatins	snpnet	qt	Genotype_only	1.088772e-01
e_asian	OestradiolNormal	snpnet	bin	Covariates_only	8.670973e-01
e_asian	OestradiolNormal	snpnet	bin	Genotype_and_covariates	8.667167e-01
e_asian	OestradiolNormal	snpnet	bin	Genotype_only	5.186131e-01
e_asian	Phosphate	snpnet	qt	Covariates_only	3.843854e-01
e_asian	Phosphate	snpnet	qt	Genotype_and_covariates	4.338545e-01
e_asian	Phosphate	snpnet	qt	Genotype_only	1.996587e-01
e_asian	Phosphate_adjstatins	snpnet	qt	Covariates_only	2.186373e-01
e_asian	Phosphate_adjstatins	snpnet	qt	Genotype_and_covariates	1.932505e-01
e_asian	Phosphate_adjstatins	snpnet	qt	Genotype_only	2.923173e-03
e_asian	Potassium_in_urine	snpnet	qt	Covariates_only	1.381428e-01
e_asian	Potassium_in_urine	snpnet	qt	Genotype_and_covariates	1.313036e-01
e_asian	Potassium_in_urine	snpnet	qt	Genotype_only	1.077770e-03
e_asian	RheumatoidFactorNormal	snpnet	bin	Covariates_only	5.634776e-01
e_asian	RheumatoidFactorNormal	snpnet	bin	Genotype_and_covariates	5.688757e-01
e_asian	RheumatoidFactorNormal	snpnet	bin	Genotype_only	5.202759e-01
e_asian	SHBG	snpnet	qt	Covariates_only	3.660555e-01
e_asian	SHBG	snpnet	qt	Genotype_and_covariates	4.028051e-01
e_asian	SHBG	snpnet	qt	Genotype_only	1.651137e-01
e_asian	SHBG_adjstatins	snpnet	qt	Covariates_only	4.216336e-01
e_asian	SHBG_adjstatins	snpnet	qt	Genotype_and_covariates	4.745725e-01
e_asian	SHBG_adjstatins	snpnet	qt	Genotype_only	2.122915e-01
e_asian	Sodium_in_urine	snpnet	qt	Covariates_only	2.505243e-01
e_asian	Sodium_in_urine	snpnet	qt	Genotype_and_covariates	2.524293e-01
e_asian	Sodium_in_urine	snpnet	qt	Genotype_only	2.948298e-02
e_asian	Testosterone	snpnet	qt	Covariates_only	8.529849e-01
e_asian	Testosterone	snpnet	qt	Genotype_and_covariates	8.529984e-01
e_asian	Testosterone	snpnet	qt	Genotype_only	3.380538e-02
e_asian	Testosterone_adjstatins	snpnet	qt	Covariates_only	8.519356e-01
e_asian	Testosterone_adjstatins	snpnet	qt	Genotype_and_covariates	8.520001e-01
e_asian	Testosterone_adjstatins	snpnet	qt	Genotype_only	3.565374e-02
e_asian	Total_protein	snpnet	qt	Covariates_only	3.398602e-01
e_asian	Total_protein	snpnet	qt	Genotype_and_covariates	2.632771e-01
e_asian	Total_protein	snpnet	qt	Genotype_only	5.829375e-02
e_asian	Total_protein_adjstatins	snpnet	qt	Covariates_only	3.306009e-01
e_asian	Total_protein_adjstatins	snpnet	qt	Genotype_and_covariates	2.588690e-01
e_asian	Total_protein_adjstatins	snpnet	qt	Genotype_only	5.666872e-02
e_asian	Triglycerides	snpnet	qt	Covariates_only	2.642602e-01
e_asian	Triglycerides	snpnet	qt	Genotype_and_covariates	3.464750e-01
e_asian	Triglycerides	snpnet	qt	Genotype_only	2.293282e-01
e_asian	Triglycerides_adjstatins	snpnet	qt	Covariates_only	2.673381e-01
e_asian	Triglycerides_adjstatins	snpnet	qt	Genotype_and_covariates	3.518689e-01
e_asian	Triglycerides_adjstatins	snpnet	qt	Genotype_only	2.345095e-01
e_asian	UACRNormal	snpnet	bin	Covariates_only	5.175317e-01
e_asian	UACRNormal	snpnet	bin	Genotype_and_covariates	5.211429e-01
e_asian	UACRNormal	snpnet	bin	Genotype_only	5.115381e-01
